ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L,TEDTALK810,PGN.TXT,0.07500,0.17647,0.10526,1
ROUGE-1,TEDTALK810,PGN.TXT,0.08333,0.05714,0.06780,1
ROUGE-2,TEDTALK810,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK810,PGN.TXT,0.02174,0.01786,0.01961,1
ROUGE-L,TEDTALK811,PGN.TXT,0.13208,0.15217,0.14141,1
ROUGE-1,TEDTALK811,PGN.TXT,0.21538,0.10938,0.14508,1
ROUGE-2,TEDTALK811,PGN.TXT,0.01613,0.00800,0.01070,1
ROUGE-SU4,TEDTALK811,PGN.TXT,0.06441,0.03115,0.04199,1
ROUGE-L,TEDTALK812,PGN.TXT,0.12195,0.16667,0.14085,1
ROUGE-1,TEDTALK812,PGN.TXT,0.18182,0.10870,0.13605,1
ROUGE-2,TEDTALK812,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK812,PGN.TXT,0.04490,0.02683,0.03359,1
ROUGE-L,TEDTALK813,PGN.TXT,0.02222,0.04545,0.02985,1
ROUGE-1,TEDTALK813,PGN.TXT,0.01887,0.01064,0.01361,1
ROUGE-2,TEDTALK813,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK813,PGN.TXT,0.00426,0.00238,0.00305,1
ROUGE-L,TEDTALK814,PGN.TXT,0.03774,0.20000,0.06349,1
ROUGE-1,TEDTALK814,PGN.TXT,0.03509,0.02381,0.02837,1
ROUGE-2,TEDTALK814,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK814,PGN.TXT,0.00784,0.00541,0.00640,1
ROUGE-L,TEDTALK815,PGN.TXT,0.06522,0.12500,0.08571,1
ROUGE-1,TEDTALK815,PGN.TXT,0.08333,0.05405,0.06557,1
ROUGE-2,TEDTALK815,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK815,PGN.TXT,0.01818,0.01333,0.01538,1
ROUGE-L,TEDTALK816,PGN.TXT,0.12766,0.11321,0.12000,1
ROUGE-1,TEDTALK816,PGN.TXT,0.15000,0.07377,0.09890,1
ROUGE-2,TEDTALK816,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK816,PGN.TXT,0.03214,0.01607,0.02143,1
ROUGE-L,TEDTALK817,PGN.TXT,0.07500,0.06250,0.06818,1
ROUGE-1,TEDTALK817,PGN.TXT,0.14000,0.06087,0.08485,1
ROUGE-2,TEDTALK817,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK817,PGN.TXT,0.03043,0.01308,0.01830,1
ROUGE-L,TEDTALK807,PGN.TXT,0.09804,0.14706,0.11765,1
ROUGE-1,TEDTALK807,PGN.TXT,0.13208,0.07447,0.09524,1
ROUGE-2,TEDTALK807,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK807,PGN.TXT,0.03111,0.01667,0.02171,1
ROUGE-L,TEDTALK808,PGN.TXT,0.11111,0.17241,0.13514,1
ROUGE-1,TEDTALK808,PGN.TXT,0.12963,0.05000,0.07216,1
ROUGE-2,TEDTALK808,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK808,PGN.TXT,0.02917,0.01077,0.01573,1
ROUGE-L,TEDTALK809,PGN.TXT,0.05970,0.15385,0.08602,1
ROUGE-1,TEDTALK809,PGN.TXT,0.18293,0.14151,0.15957,1
ROUGE-2,TEDTALK809,PGN.TXT,0.02532,0.01980,0.02222,1
ROUGE-SU4,TEDTALK809,PGN.TXT,0.05263,0.04167,0.04651,1
ROUGE-L,TEDTALK800,PGN.TXT,0.11765,0.09091,0.10256,1
ROUGE-1,TEDTALK800,PGN.TXT,0.23684,0.07143,0.10976,1
ROUGE-2,TEDTALK800,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK800,PGN.TXT,0.05882,0.01786,0.02740,1
ROUGE-L,TEDTALK801,PGN.TXT,0.17391,0.24242,0.20253,1
ROUGE-1,TEDTALK801,PGN.TXT,0.24561,0.12727,0.16766,1
ROUGE-2,TEDTALK801,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK801,PGN.TXT,0.07547,0.04000,0.05229,1
ROUGE-L,TEDTALK802,PGN.TXT,0.10256,0.12903,0.11429,1
ROUGE-1,TEDTALK802,PGN.TXT,0.17647,0.06716,0.09730,1
ROUGE-2,TEDTALK802,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK802,PGN.TXT,0.04889,0.01719,0.02543,1
ROUGE-L,TEDTALK803,PGN.TXT,0.05000,0.08000,0.06154,1
ROUGE-1,TEDTALK803,PGN.TXT,0.04545,0.02326,0.03077,1
ROUGE-2,TEDTALK803,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK803,PGN.TXT,0.01000,0.00556,0.00714,1
ROUGE-L,TEDTALK804,PGN.TXT,0.09615,0.12821,0.10989,1
ROUGE-1,TEDTALK804,PGN.TXT,0.16667,0.11579,0.13665,1
ROUGE-2,TEDTALK804,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK804,PGN.TXT,0.04138,0.02824,0.03357,1
ROUGE-L,TEDTALK805,PGN.TXT,0.03030,0.05000,0.03774,1
ROUGE-1,TEDTALK805,PGN.TXT,0.02564,0.00877,0.01307,1
ROUGE-2,TEDTALK805,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK805,PGN.TXT,0.00571,0.00192,0.00288,1
ROUGE-L,TEDTALK806,PGN.TXT,0.10526,0.08889,0.09639,1
ROUGE-1,TEDTALK806,PGN.TXT,0.23913,0.10577,0.14667,1
ROUGE-2,TEDTALK806,PGN.TXT,0.02222,0.01000,0.01379,1
ROUGE-SU4,TEDTALK806,PGN.TXT,0.06364,0.02917,0.04000,1
ROUGE-L,TEDTALK832,PGN.TXT,0.11364,0.09434,0.10309,1
ROUGE-1,TEDTALK832,PGN.TXT,0.18367,0.06716,0.09836,1
ROUGE-2,TEDTALK832,PGN.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK832,PGN.TXT,0.05333,0.01905,0.02807,1
