ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L,TEDTALK1982,TEXTRANK.TXT,0.07246,0.06849,0.07042,1
ROUGE-1,TEDTALK1982,TEXTRANK.TXT,0.16667,0.11570,0.13659,1
ROUGE-2,TEDTALK1982,TEXTRANK.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1982,TEXTRANK.TXT,0.04167,0.02564,0.03175,1
ROUGE-L,TEDTALK1981,TEXTRANK.TXT,0.14634,0.09375,0.11429,1
ROUGE-1,TEDTALK1981,TEXTRANK.TXT,0.21739,0.10417,0.14085,1
ROUGE-2,TEDTALK1981,TEXTRANK.TXT,0.04651,0.02128,0.02920,1
ROUGE-SU4,TEDTALK1981,TEXTRANK.TXT,0.08000,0.03478,0.04848,1
ROUGE-L,TEDTALK1984,TEXTRANK.TXT,0.17021,0.12500,0.14414,1
ROUGE-1,TEDTALK1984,TEXTRANK.TXT,0.22581,0.15730,0.18543,1
ROUGE-2,TEDTALK1984,TEXTRANK.TXT,0.03390,0.02299,0.02740,1
ROUGE-SU4,TEDTALK1984,TEXTRANK.TXT,0.07143,0.04706,0.05674,1
ROUGE-L,TEDTALK1500,TEXTRANK.TXT,0.07547,0.06061,0.06723,1
ROUGE-1,TEDTALK1500,TEXTRANK.TXT,0.08065,0.05814,0.06757,1
ROUGE-2,TEDTALK1500,TEXTRANK.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1500,TEXTRANK.TXT,0.02662,0.01750,0.02112,1
ROUGE-L,TEDTALK1983,TEXTRANK.TXT,0.17647,0.12857,0.14876,1
ROUGE-1,TEDTALK1983,TEXTRANK.TXT,0.15385,0.09709,0.11905,1
ROUGE-2,TEDTALK1983,TEXTRANK.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1983,TEXTRANK.TXT,0.03729,0.02316,0.02857,1
ROUGE-L,TEDTALK1502,TEXTRANK.TXT,0.11765,0.08451,0.09836,1
ROUGE-1,TEDTALK1502,TEXTRANK.TXT,0.20000,0.15385,0.17391,1
ROUGE-2,TEDTALK1502,TEXTRANK.TXT,0.02985,0.02222,0.02548,1
ROUGE-SU4,TEDTALK1502,TEXTRANK.TXT,0.06250,0.04494,0.05229,1
ROUGE-L,TEDTALK1986,TEXTRANK.TXT,0.08861,0.12500,0.10370,1
ROUGE-1,TEDTALK1986,TEXTRANK.TXT,0.14679,0.22857,0.17877,1
ROUGE-2,TEDTALK1986,TEXTRANK.TXT,0.00952,0.01449,0.01149,1
ROUGE-SU4,TEDTALK1986,TEXTRANK.TXT,0.03366,0.05000,0.04024,1
ROUGE-L,TEDTALK1985,TEXTRANK.TXT,0.12245,0.07229,0.09091,1
ROUGE-1,TEDTALK1985,TEXTRANK.TXT,0.23333,0.12844,0.16568,1
ROUGE-2,TEDTALK1985,TEXTRANK.TXT,0.01724,0.00935,0.01212,1
ROUGE-SU4,TEDTALK1985,TEXTRANK.TXT,0.06429,0.03429,0.04472,1
ROUGE-L,TEDTALK1501,TEXTRANK.TXT,0.08889,0.06452,0.07477,1
ROUGE-1,TEDTALK1501,TEXTRANK.TXT,0.20755,0.11957,0.15172,1
ROUGE-2,TEDTALK1501,TEXTRANK.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1501,TEXTRANK.TXT,0.05106,0.02667,0.03504,1
ROUGE-L,TEDTALK1988,TEXTRANK.TXT,0.15152,0.11364,0.12987,1
ROUGE-1,TEDTALK1988,TEXTRANK.TXT,0.30108,0.22047,0.25455,1
ROUGE-2,TEDTALK1988,TEXTRANK.TXT,0.01111,0.00800,0.00930,1
ROUGE-SU4,TEDTALK1988,TEXTRANK.TXT,0.08736,0.06179,0.07238,1
ROUGE-L,TEDTALK1504,TEXTRANK.TXT,0.11111,0.10000,0.10526,1
ROUGE-1,TEDTALK1504,TEXTRANK.TXT,0.21538,0.12727,0.16000,1
ROUGE-2,TEDTALK1504,TEXTRANK.TXT,0.01613,0.00943,0.01190,1
ROUGE-SU4,TEDTALK1504,TEXTRANK.TXT,0.06780,0.03922,0.04969,1
ROUGE-L,TEDTALK1503,TEXTRANK.TXT,0.18750,0.13043,0.15385,1
ROUGE-1,TEDTALK1503,TEXTRANK.TXT,0.25926,0.12844,0.17178,1
ROUGE-2,TEDTALK1503,TEXTRANK.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1503,TEXTRANK.TXT,0.07500,0.03364,0.04645,1
ROUGE-L,TEDTALK1987,TEXTRANK.TXT,0.09722,0.10294,0.10000,1
ROUGE-1,TEDTALK1987,TEXTRANK.TXT,0.24419,0.20588,0.22340,1
ROUGE-2,TEDTALK1987,TEXTRANK.TXT,0.01205,0.01010,0.01099,1
ROUGE-SU4,TEDTALK1987,TEXTRANK.TXT,0.06500,0.05417,0.05909,1
ROUGE-L,TEDTALK1506,TEXTRANK.TXT,0.12195,0.07812,0.09524,1
ROUGE-1,TEDTALK1506,TEXTRANK.TXT,0.20000,0.10204,0.13514,1
ROUGE-2,TEDTALK1506,TEXTRANK.TXT,0.02128,0.01042,0.01399,1
ROUGE-SU4,TEDTALK1506,TEXTRANK.TXT,0.05455,0.02553,0.03478,1
ROUGE-L,TEDTALK1989,TEXTRANK.TXT,0.12500,0.13846,0.13139,1
ROUGE-1,TEDTALK1989,TEXTRANK.TXT,0.18812,0.20652,0.19689,1
ROUGE-2,TEDTALK1989,TEXTRANK.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1989,TEXTRANK.TXT,0.05376,0.05682,0.05525,1
ROUGE-L,TEDTALK1505,TEXTRANK.TXT,0.16216,0.07692,0.10435,1
ROUGE-1,TEDTALK1505,TEXTRANK.TXT,0.19048,0.07619,0.10884,1
ROUGE-2,TEDTALK1505,TEXTRANK.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4,TEDTALK1505,TEXTRANK.TXT,0.04211,0.01616,0.02336,1
ROUGE-L,TEDTALK1508,TEXTRANK.TXT,0.20000,0.12195,0.15152,1
ROUGE-1,TEDTALK1508,TEXTRANK.TXT,0.25000,0.14151,0.18072,1
ROUGE-2,TEDTALK1508,TEXTRANK.TXT,0.01786,0.00962,0.01250,1
ROUGE-SU4,TEDTALK1508,TEXTRANK.TXT,0.06538,0.03333,0.04416,1
